id,title,type,refer,knowledge_points,source
Q004a,"Draw the lattice of consistent global states. In the lattice, use Sij to denote the global state after i events at process p1 and j events at process p2.",Essay,Chapter 7 Time and Global States,Global States; Distributed Debugging,8.pdf
Q004b,"If it can be inferred that the constraint |x − y| > 6 must be broken in the execution, what is the possible range of x's values in the two states shown by ""x = ?"" (note that these two states have the same x value)?",Essay,Chapter 7 Time and Global States,Global States; Distributed Debugging,8.pdf
Q005a,"Suppose that the Ricart and Agrawala algorithm is used for distributed mutual exclusion among n processes p1, p2, ..., pn. Below is the partial pseudocode of the algorithm executed by a process pi. Complete the algorithm by filling in the boxes A to F with the appropriate pseudocode. Each box other than D is for one statement, and D is a logical condition. On initialization state := RELEASED; To enter the critical section state := WANTED; [Box A] T := the timestamp of the request by the logical clock; [Box B] [Box C] On receipt of a request (Tj, pj) from another process pj (j ≠ i) if [Box D] then [Box E] else queue request from pj without replying; end if To exit the critical section state := RELEASED; [Box F]",Fill in Blank,Chapter 1 Characterization of Distributed Systems & System Models,Uncategorized,8.pdf
Q005b,"In the Ricart and Agrawala algorithm, suppose the statement “T := the timestamp of the request by the logical clock” is changed to “T := i” (i.e., the timestamp is set to the process index). Does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer.",Fill in Blank,Chapter 1 Characterization of Distributed Systems & System Models,Uncategorized,8.pdf
Q005c,"Suppose that we would like to modify the Ricart and Agrawala algorithm to coordinate p1, p2, ..., pn for accessing a shared resource that can be accessed by at most two processes at any time. Which box (or boxes) in Q5(a) need to be amended and how it (or they) should be amended to achieve this goal?",Fill in Blank,Chapter 1 Characterization of Distributed Systems & System Models,Uncategorized,8.pdf
Q006a,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. The operations performed by two clients are: Client A: write(x ← x + 6), read(x) → a, write(x ← x + 50), read(x) → b. Client B: read(x) → c, write(x ← x + 400), read(x) → d. If a = 406 and the object service is sequentially consistent, what are the possible combinations of the values c and d?",Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,8.pdf
Q006b,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. The operations performed by two clients are: Client A: write(x ← x + 6), read(x) → a, write(x ← x + 50), read(x) → b. Client B: read(x) → c, write(x ← x + 400), read(x) → d. If the object service is FIFO consistent, what are the possible combinations of the values a and b?",Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,8.pdf
Q006c,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. The operations performed by two clients are: Client A: write(x ← x + 6), read(x) → a, write(x ← x + 50), read(x) → b. Client B: read(x) → c, write(x ← x + 400), read(x) → d. If a = 400 and the object service is monotonic-read consistent, what are the possible values of b?",Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,8.pdf
Q006d,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. The operations performed by two clients are: Client A: write(x ← x + 6), read(x) → a, write(x ← x + 50), read(x) → b. Client B: read(x) → c, write(x ← x + 400), read(x) → d. If a = 406 and the object service is read-your-writes consistent, what are the possible values of b?",Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,8.pdf
Q006e,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. The operations performed by two clients are: Client A: write(x ← x + 6), read(x) → a, write(x ← x + 50), read(x) → b. Client B: read(x) → c, write(x ← x + 400), read(x) → d. If a = 400 and the object service is both monotonic-write consistent and writes-follow-reads consistent, what are the possible values of b?",Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,8.pdf
Q007a,"An information server maintains the COVID-19 situation reports of different countries and updates them daily. The server would like to keep interested clients informed of the latest report through callback. Design a Java remote interface for the clients to allow the server to perform callback, and a Java remote interface for the server to allow the clients to register and deregister their interests in the report of a specified country. Assume that the reports and country names are represented by strings.",Programming,Chapter 3 Distributed Objects & Remote Invocation,Object-based model: remote method invocation (RMI); An example of Java RMI,6.pdf
Q007b,"A client makes remote method invocations to a server. The client takes 3 milliseconds to compute the arguments for each request, and the server takes 20 milliseconds to process each request. The local operating system processing time for each send or receive operation is 1 millisecond, and the network propagation time to transmit each request or reply message is 4 milliseconds. Marshalling or unmarshalling takes 1 millisecond per message. The server runs two threads on two processors, and the client runs two threads on a single processor. Assume that context-switching times are negligible. Calculate the time taken by the client to generate and return from two remote method invocation requests.",Programming,Chapter 3 Distributed Objects & Remote Invocation,Object-based model: remote method invocation (RMI); An example of Java RMI,6.pdf
Q008,"A client C in NTU would like to resolve a name “www.ox.ac.uk"". List the sequence of all messages sent among C and the relevant name servers in the name resolution process, assuming name mappings are not cached at non-authoritative name servers initially. In your answer, use the format ""NS(ddd)” to indicate the authoritative name server for the domain “ddd"", and use the format “C→ NS(ddd)” to indicate a message sent by C to NS(ddd).",Short Answer,Chapter 6 Name Services,Domain Name System,6.pdf
Q009a,"A distributed file system consists of a server and two clients A and B. Let f be a single-block file stored at the server. Figure Q3 shows the operations performed by clients A and B on file f, where “o”, “r”, “u” and “c” represent open, read, update and close operations respectively. A and B both start with an empty client cache, and the caches are large enough to avoid any replacement. The updates made by B do not change the length of file f. The transmission delay in the network and the processing times at the server and clients are negligible.

For the case where the system is an NFS, and the clients use a freshness interval of 3 seconds to maintain cache consistency, and client B uses a bio-daemon process to send its updates to the server right after making each update: determine the time instants when A needs to contact the server, and determine which read operations of A return the up-to-date file.",Short Answer,Chapter 4 Distributed File Systems,Sun Network File System; Andrew and Coda File Systems,6.pdf
Q009b,"A distributed file system consists of a server and two clients A and B. Let f be a single-block file stored at the server. Figure Q3 shows the operations performed by clients A and B on file f, where “o”, “r”, “u” and “c” represent open, read, update and close operations respectively. A and B both start with an empty client cache, and the caches are large enough to avoid any replacement. The updates made by B do not change the length of file f. The transmission delay in the network and the processing times at the server and clients are negligible.

For the case where the system is an AFS that implements session update semantics: determine the time instants when A needs to contact the server, and determine which read operations of A return the up-to-date file.",Short Answer,Chapter 4 Distributed File Systems,Sun Network File System; Andrew and Coda File Systems,6.pdf
Q010a,"In a peer-to-peer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 2^7 – 1). There are 9 nodes in the system: N1, N8, N21, N30, N36, N51, N91, N97 and N116, where the numbers behind 'N' denote the node identifiers on the identifier circle. What is the route of a query issued by node N51 for the location information of file K34 (the number behind ‘K' denotes the key identifier of the file on the identifier circle)?",Short Answer,Chapter 5 Peer-to-Peer File Sharing Systems,Structured DHT Systems,6.pdf
Q010b,"In a peer-to-peer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 2^7 – 1). There are 9 nodes in the system: N1, N8, N21, N30, N36, N51, N91, N97 and N116, where the numbers behind 'N' denote the node identifiers on the identifier circle. When a new node joins the system, nodes N8 and N30 both need to update their finger tables. What are the possible node identifiers of this new node? (Note: besides N8 and N30, there may be other nodes which also need to update their finger tables due to the new node.)",Short Answer,Chapter 5 Peer-to-Peer File Sharing Systems,Structured DHT Systems,6.pdf
Q011ai,"Three processes p1, p2 and p3 are running on three different computers in an asynchronous distributed system. Figure Q5 shows the messages m1 to m4 sent between the processes, where events a to h represent the sending and receiving events of these messages. Suppose that the transmission delay of each message is at least 50 ms. Clock drifts are negligible. Let tx be the local clock reading at event x in the process where x occurs (for example, ta is the local clock reading of p1 at event a, and tb is the local clock reading of p3 at event b). Assume that p1 knows the clock readings te and tg, and also knows that th – ta = 1000 ms, tc - tb = 100 ms, tf - tc = 500 ms, tg – tf = 100 ms, te – td = 300 ms. If p1 would like to synchronize its local clock with p3's clock as accurately as possible, what time should p1 set its clock to when it receives message m4 from p3? What is the accuracy of this setting?",Calculation,Chapter 7 Time and Global States,Synchronizing Physical Clocks; Causal Ordering and Logical Clocks; Global States,6.pdf
Q011aii,"Three processes p1, p2 and p3 are running on three different computers in an asynchronous distributed system. Figure Q5 shows the messages m1 to m4 sent between the processes, where events a to h represent the sending and receiving events of these messages. Suppose that the transmission delay of each message is at least 50 ms. Clock drifts are negligible. Let tx be the local clock reading at event x in the process where x occurs (for example, ta is the local clock reading of p1 at event a, and tb is the local clock reading of p3 at event b). Assume that p1 knows the clock readings te and tg, and also knows that th – ta = 1000 ms, tc - tb = 100 ms, tf - tc = 500 ms, tg – tf = 100 ms, te – td = 300 ms. If p1 would like to synchronize its local clock with p2's clock as accurately as possible, what time should p1 set its clock to when it receives message m4 from p3? What is the accuracy of this setting?",Calculation,Chapter 7 Time and Global States,Synchronizing Physical Clocks; Causal Ordering and Logical Clocks; Global States,6.pdf
Q011b,"Three processes p1, p2 and p3 are running on three different computers in an asynchronous distributed system. Figure Q5 shows the messages m1 to m4 sent between the processes, where events a to h represent the sending and receiving events of these messages. Timestamp all the events in Figure Q5 using the vector clocks.",Calculation,Chapter 7 Time and Global States,Synchronizing Physical Clocks; Causal Ordering and Logical Clocks; Global States,6.pdf
Q011c,"Three processes p1, p2 and p3 are running on three different computers in an asynchronous distributed system. Figure Q5 shows the messages m1 to m4 sent between the processes, where events a to h represent the sending and receiving events of these messages. Assume that message delivery on each unidirectional point-to-point channel follows FIFO order. Process p3 initiates the Chandy-and-Lamport algorithm immediately after event c to record a snapshot of the system. List all the possible snapshots finally recorded. Indicate clearly the process states and channel states in the snapshots. In your answer, use S1, S2 and S3 to represent the initial states of processes p1, p2 and p3 respectively, and use Sx to represent the state of the process (where event x occurs) immediately after event x's occurrence (for example, Sa is the state of process p1 immediately after event a occurs, and Sb is the state of process p3 immediately after event b occurs).",Calculation,Chapter 7 Time and Global States,Synchronizing Physical Clocks; Causal Ordering and Logical Clocks; Global States,6.pdf
Q012a,"A replicated shared object service hosts an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x) → a denotes a read operation on x returning a value a, and write(x, 2) denotes a write operation setting the value of x to 2. The operations performed by each client are listed in the order that they are performed by the client. [Includes Table Q6 showing program order for Client A and Client B]. If the object service is sequentially consistent, what are the possible combinations of the values a, b and c?",Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,6.pdf
Q012b,"A replicated shared object service hosts an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x) → a denotes a read operation on x returning a value a, and write(x, 2) denotes a write operation setting the value of x to 2. The operations performed by each client are listed in the order that they are performed by the client. [Includes Table Q6 showing program order for Client A and Client B]. If the object service is FIFO consistent, what are the possible combinations of the values a and b?",Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,6.pdf
Q012ci,Suppose that there are four replicas of object x. What are the maximum numbers of crash failures and arbitrary failures that can be tolerated respectively under passive replication?,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,6.pdf
Q012cii,Suppose that there are four replicas of object x. What are the maximum numbers of crash failures and arbitrary failures that can be tolerated respectively under active replication?,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,6.pdf
Q012ciii,Suppose that there are four replicas of object x. Let R be the minimum allowable number of replicas in a read quorum and W be the minimum allowable number of replicas in a write quorum. List all possible combinations of R and W permitted by Gifford's quorum consensus scheme to handle network partitions.,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,6.pdf
Q013a,"Three processes p1, p2 and p3 are running in an asynchronous distributed system. The vector clock mechanism is used to timestamp the events that occur in these processes, including the events of sending messages, receiving messages and the internal actions carried out by the processes. Suppose that two events a and b have timestamps (10, 20, 30) and (40, 50, 60) respectively. What is the maximum possible number of events x in the system satisfying both a → x and x → b in causal ordering? Briefly explain your answer and draw a diagram to illustrate such a scenario.",Essay,Chapter 7 Time and Global States,Causal Ordering and Logical Clocks,6.pdf
Q013b,"Three processes p1, p2 and p3 are running in an asynchronous distributed system. The vector clock mechanism is used to timestamp the events that occur in these processes, including the events of sending messages, receiving messages and the internal actions carried out by the processes. Suppose that two events a and b have timestamps (10, 20, 30) and (40, 50, 60) respectively. What is the minimum possible number of events x in the system satisfying both a → x and x → b in causal ordering? Briefly explain your answer and draw a diagram to illustrate such a scenario.",Essay,Chapter 7 Time and Global States,Causal Ordering and Logical Clocks,6.pdf
Q014a,"In an asynchronous distributed system, two processes A and B are connected by a bidirectional communication channel. Each process wants to select and take one of two actions x and y. Assume that the processes suffer from crash failures, but the communication channel is reliable and does not fail. Can a protocol be devised for the two processes to agree upon the action to take? Briefly explain your answer.",Essay,Chapter 1 Characterization of Distributed Systems & System Models,What are the issues and problems in DS?; Fundamental models,6.pdf
Q014b,"In the Ricart-and-Agrawala algorithm for mutual exclusion, instead of using logical clock readings to timestamp requests, suppose that every process maintains a monotonically increasing counter to record how many requests it has made, and uses the counter readings to timestamp its requests. With this modification, does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer.",Essay,Chapter 1 Characterization of Distributed Systems & System Models,What are the issues and problems in DS?; Fundamental models,6.pdf
Q015a,"In a distributed banking system, design Java remote interfaces for the server and the customer to support querying available credit limits and receiving transaction notifications via callback.",Essay,Chapter 3 Distributed Objects & Remote Invocation,An example of Java RMI,7.pdf
Q015b,Let A and B be two different idempotent operations on the same object. Let C be a compound operation that first executes A and then executes B. Analyze whether operation C is idempotent and briefly explain your answer.,Essay,Chapter 3 Distributed Objects & Remote Invocation,Fundamental models,7.pdf
Q015c,"Briefly explain one-copy update semantics and session update semantics. What update semantics do the local UNIX file system, the Network File System and the Andrew File System implement respectively?",Essay,Chapter 3 Distributed Objects & Remote Invocation,Sun Network File System; Andrew and Coda File Systems,7.pdf
Q016a,"In a peer-to-peer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 2^7 – 1). There are 10 nodes in the system: N0, N6, N25, N38, N45, N58, N67, N73, N88 and N94, where the numbers behind 'N' denote the node identifiers on the identifier circle. What is the route of a query issued by node N88 for the location information of file K71 (the number behind 'K' denotes the key identifier of the file on the identifier circle)?",Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,Structured DHT Systems,7.pdf
Q016b,"In a peer-to-peer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 2^7 – 1). There are 10 nodes in the system: N0, N6, N25, N38, N45, N58, N67, N73, N88 and N94, where the numbers behind 'N' denote the node identifiers on the identifier circle. When a new node joins the system, it changes the route of the query in Q2(a). What are the possible node identifiers of this new node?",Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,Structured DHT Systems,7.pdf
Q017a,"Assume that the clock drifts are negligible. If p3 would like to synchronize its clock with p2's clock as accurately as possible, what time should p3 set its clock to when it receives the message at event h? What is the accuracy of this setting?",Calculation,Chapter 7 Time and Global States,Synchronizing Physical Clocks,7.pdf
Q017b,"Assume that the clock drifts are negligible. If p3 would like to synchronize its clock with p₁'s clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting?",Calculation,Chapter 7 Time and Global States,Synchronizing Physical Clocks,7.pdf
Q017c,"Suppose that the drift rate of each clock is bounded by 10 ms per second (the drift rate of a clock is defined as the change in the offset between the clock and a perfect reference clock per unit of time measured by the perfect reference clock). If p3 would like to synchronize its clock with p2's clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting?",Calculation,Chapter 7 Time and Global States,Synchronizing Physical Clocks,7.pdf
Q017d,List all the events that happened-before event e in causal ordering.,Calculation,Chapter 7 Time and Global States,Causal Ordering and Logical Clocks,7.pdf
Q017e,"Assume that message delivery on each unidirectional point-to-point channel follows FIFO order. Suppose that p₁ initiates the Chandy-and-Lamport algorithm immediately after event e to record a snapshot of the system. What are the possible snapshots finally recorded? In your answer, if needed, use S1, S2 and S3 to represent the initial states of p1, p2 and p3 respectively, and use Sx to represent the state of the process immediately after event x occurs (for example, Sa is the state of p3 immediately after event a occurs, and Sc is the state of p2 immediately after event c occurs).",Calculation,Chapter 7 Time and Global States,Global States,7.pdf
Q018a,"Figure Q4 shows the execution of two processes p₁ and p2 in an asynchronous distributed system, where the dots represent the events occurring in the processes, and the arrows represent the messages sent between the processes. Process p₁ contains a variable x, and process p2 contains a variable y. The values of x and y at the different process states are shown in Figure Q4. Draw the lattice of consistent global states. In the lattice, use Sij to denote the global state after i events at process p₁ and j events at process p2.",Essay,Chapter 7 Time and Global States,Global States; Distributed Debugging,7.pdf
Q018b,"Figure Q4 shows the execution of two processes p₁ and p2 in an asynchronous distributed system, where the dots represent the events occurring in the processes, and the arrows represent the messages sent between the processes. Process p₁ contains a variable x, and process p2 contains a variable y. The values of x and y at the different process states are shown in Figure Q4. If it can be inferred that the constraint |x − y| > 6 must be broken in the execution, what is the possible range of x's values in the two states shown by ""x = ?"" (note that these two states have the same x value)?",Essay,Chapter 7 Time and Global States,Global States; Distributed Debugging,7.pdf
Q019a,"Suppose that the Ricart and Agrawala algorithm is used for distributed mutual exclusion among n processes p1, p2, ..., pn. Below is the partial pseudocode of the algorithm executed by a process pi. Complete the algorithm by filling in the boxes A to F with the appropriate pseudocode. Each box other than D is for one statement, and D is a logical condition.
On initialization
  state := RELEASED;
To enter the critical section
  state := WANTED;
  [Box A]
  T := the timestamp of the request by the logical clock;
  [Box B]
  [Box C]
On receipt of a request (Tj, pj) from another process pj (j ≠ i)
  if [Box D]
  then
    [Box E]
  else
    queue request from pj without replying;
  end if
To exit the critical section
  state := RELEASED;
  [Box F]",Essay,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,7.pdf
Q019b,"In the Ricart and Agrawala algorithm, suppose the statement “T := the timestamp of the request by the logical clock” is changed to “T := i” (i.e., the timestamp is set to the process index). Does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer.",Essay,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,7.pdf
Q019c,"Suppose that we would like to modify the Ricart and Agrawala algorithm to coordinate p1, p2, ..., pn for accessing a shared resource that can be accessed by at most two processes at any time. Which box (or boxes) in Q5(a) need to be amended and how it (or they) should be amended to achieve this goal?",Essay,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,7.pdf
Q020a,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x) → a denotes a read operation on x returning a value a, and write(x ← x + 50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. If a = 406 and the object service is sequentially consistent, what are the possible combinations of the values c and d?",Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,7.pdf
Q020b,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x) → a denotes a read operation on x returning a value a, and write(x ← x + 50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. If the object service is FIFO consistent, what are the possible combinations of the values a and b?",Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,7.pdf
Q020c,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x) → a denotes a read operation on x returning a value a, and write(x ← x + 50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. If a = 400 and the object service is monotonic-read consistent, what are the possible values of b?",Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,7.pdf
Q020d,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x) → a denotes a read operation on x returning a value a, and write(x ← x + 50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. If a = 406 and the object service is read-your-writes consistent, what are the possible values of b?",Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,7.pdf
Q020e,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x) → a denotes a read operation on x returning a value a, and write(x ← x + 50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. If a = 400 and the object service is both monotonic-write consistent and writes-follow-reads consistent, what are the possible values of b?",Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,Fundamental models,7.pdf
Q021a,"An information server maintains the COVID-19 situation reports of different countries and updates them daily. The server would like to keep interested clients informed of the latest report through callback. Design a Java remote interface for the clients to allow the server to perform callback, and a Java remote interface for the server to allow the clients to register and deregister their interests in the report of a specified country. Assume that the reports and country names are represented by strings.",Programming,Chapter 3 Distributed Objects & Remote Invocation,Object-based model: remote method invocation (RMI); Architecture of RMI; An example of Java RMI,5.pdf
