id,title,type,original_type,refer,knowledge_points,source,title_length
Q011,"3. Figure Q3 shows three computers A, B and M in an asynchronous distributed system, each having a local clock. M sends requests to the other two computers and then they reply to M. Events a to h represent the sending and receiving events of these messages. Let tx denote the local clock reading at event x in the computer where x occurs (for example, ta is the local clock reading of A at event a, and tc is the local clock reading of M at event c). Assume that M knows the time readings (in units of millisecond) of all events: ta  200, tb  220, tc  110, td  150, te  180, tf 190, tg  30, and th  60. The clock drifts at the computers are negligible. [Image of Figure Q3] (a) M would like to estimate the local clock reading of A. What is Ms best estimate of As clock reading at the time when M receives As reply (i.e., at event f)? What is the accuracy of this estimate? (3 marks) (b) M would like to estimate the local clock reading of B. What is Ms best estimate of Bs clock reading at the time when M receives Bs reply (i.e., at event e)? What is the accuracy of this estimate? (3 marks) (c) Suppose that M acts as the master in the Berkeley algorithm for synchronizing the local clocks of M, A and B. M does not eliminate any clock in its calculation. Following Q3(a) and Q3(b), what time value should M set its clock to when it receives As reply (i.e., at event f)? What information should M send to A and B respectively for synchronizing their clocks? (5 marks) (d) Following Q3(c), after M, A and B perform synchronization using the Berkeley algorithm, what is the largest possible offset between As clock and Bs clock? (3 marks) (e) Assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. Suppose that M initiates the ChandyandLamport algorithm sometime between events d and e to record a snapshot of the system. What are the possible snapshots finally recorded? In your answer, use SA, SB, and SM to represent the initial states of A, B, and M respectively, and use Sx to represent the state of the computer (where event x occurs) immediately after event xs occurrence (for example, Sa is the state of A immediately after event a occurs, and Sc is the state of M immediately after event c occurs). (4 marks)",Calculation,Calculation,Chapter 7 Time and Global States,"['Synchronizing Physical Clocks', 'Global States']",3.pdf,2256
Q012,"4. Figure Q4 shows the execution of two processes p1 and p2 in an asynchronous distributed system, where the dots represent the events occurring in the processes, and the arrows represent the messages sent between the processes. Process p₁ contains a variable x, and process p2 contains a variable y. The values of x and y at different process states are shown in Figure Q4. [Image of Figure Q4] (a) Draw the lattice of consistent global states. In the lattice, use Sij to denote the global state after i events at process p₁ and j events at process p2. (7 marks) (b) If it can be inferred that the constraint x  y  6 must be broken in the execution, what is the possible range of ys values in the two states shown by ""y  ?"" (note that these two states have the same y value)? (8 marks)",Short Answer,Short Answer,Chapter 7 Time and Global States,"['Global States', 'Causal Ordering and Logical Clocks', 'Distributed Debugging']",3.pdf,786
Q013,"5. (a) We would like to modify the ringbased election algorithm to elect the process with the smallest identifier. Assume that each process has a unique identifier. Describe what a process with an identifier 6 needs to do when it receives an election message in each of the following cases: (i) The identifier in the received message is 5. (ii) The identifier in the received message is 6. (iii) The identifier in the received message is 7. (8 marks) (b) In the RicartandAgrawala algorithm for mutual exclusion, instead of using logical clock readings to timestamp requests, suppose that every process timestamps its requests with its physical clock readings. Assume that the physical clocks always advance and do not fail. In the case that two requests have the same timestamps, the identifiers of the requesting processes are used to break ties (the process with smaller identifier is given higher priority). With this modification, does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer. (12 marks)",Essay,Essay,Chapter 7 Time and Global States,"['Synchronizing Physical Clocks', 'Causal Ordering and Logical Clocks']",3.pdf,1083
Q014,"6. Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x  x  20) denotes a write operation increasing the value of x by 20. The operations of each client are listed in the order that they are performed by the client. Table Q6 Program order  Client A: write(x  x  100), read(x)  a, read(x)  b Client B: write(x  x  3), read(x)  c, write(x  x  20), read(x)  d (a) If a  103 and the object service is sequentially consistent, what are the possible combinations of the values c and d? (3 marks) (b) If the object service is FIFO consistent, what are the possible combinations of the values c and d? (3 marks) (c) If b  123 and the object service provides both monotonicreads consistency and monotonicwrites consistency, what are the possible values of a ? (4 marks) (d) If the object service is readyourwrites consistent, what are the possible combinations of the values c and d? (4 marks) (e) If c  103 and the object service is writesfollowreads consistent, what are the possible values of d? (4 marks)",Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],3.pdf,1192
Q015,"1. (a) An information server maintains the COVID19 situation reports of different countries and updates them daily. The server would like to keep interested clients informed of the latest report through callback. Design a Java remote interface for the clients to allow the server to perform callback, and a Java remote interface for the server to allow the clients to register and deregister their interests in the report of a specified country. Assume that the reports and country names are represented by strings. (b) A client makes remote method invocations to a server. The client takes 3 milliseconds to compute the arguments for each request, and the server takes 20 milliseconds to process each request. The local operating system processing time for each send or receive operation is 1 millisecond, and the network propagation time to transmit each request or reply message is 4 milliseconds. Marshalling or unmarshalling takes 1 millisecond per message. The server runs two threads on two processors, and the client runs two threads on a single processor. Assume that contextswitching times are negligible. Calculate the time taken by the client to generate and return from two remote method invocation requests.",Short Answer,Short Answer,Chapter 3 Distributed Objects & Remote Invocation,"['Object-based model: remote method invocation (RMI)', 'An example of Java RMI', 'Architecture of RMI']",5.pdf,1221
Q016,"2. A client C in NTU would like to resolve a name www.ox.ac.uk"". List the sequence of all messages sent among C and the relevant name servers in the name resolution process, assuming name mappings are not cached at nonauthoritative name servers initially. In your answer, use the format ""NS(ddd) to indicate the authoritative name server for the domain ddd, and use the format C NS(ddd) to indicate a message sent by C to NS(ddd).",Short Answer,Short Answer,Chapter 6 Name Services,['Domain Name System'],5.pdf,430
Q017,"3. A distributed file system consists of a server and two clients A and B. Let f be a singleblock file stored at the server. Figure Q3 shows the operations performed by clients A and B on file f, where o, r, u and c represent open, read, update and close operations respectively. A and B both start with an empty client cache, and the caches are large enough to avoid any replacement. The updates made by B do not change the length of file f. The transmission delay in the network and the processing times at the server and clients are negligible. [The timeline in Figure Q3 shows Client A performs: O,r1 at t1; r2 at t2; r3 at t4; r4 at t6; r5,c at t9; O,r6 at t11; r7,c at t12; O,r8,c at t14. Client B performs: O,u1 at t3; u2 at t5; u3,c at t13.] For each case below, determine the time instants when A needs to contact the server, and determine which read operations of A return the uptodate file. (a) The system is an NFS. The clients use a freshness interval of 3 seconds to maintain cache consistency, and client B uses a biodaemon process to send its updates to the server right after making each update. (b) The system is an AFS that implements session update semantics.",Short Answer,Short Answer,Chapter 4 Distributed File Systems,"['Sun Network File System', 'Andrew and Coda File Systems']",5.pdf,1179
Q018,"4. In a peertopeer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 27  1). There are 9 nodes in the system: N1, N8, N21, N30, N36, N51, N91, N97 and N116, where the numbers behind N denote the node identifiers on the identifier circle. (a) What is the route of a query issued by node N51 for the location information of file K34 (the number behind K denotes the key identifier of the file on the identifier circle)? (b) When a new node joins the system, nodes N8 and N30 both need to update their finger tables. What are the possible node identifiers of this new node? (Note: besides N8 and N30, there may be other nodes which also need to update their finger tables due to the new node.)",Short Answer,Short Answer,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],5.pdf,734
Q019,"5. Three processes p1, p2 and p3 are running on three different computers in an asynchronous distributed system. Figure Q5 shows the messages m1 to m4 sent between the processes, where events a to h represent the sending and receiving events of these messages. [Figure Q5 shows message m1 from p1(event a) to p3(event b); message m2 from p3(event c) to p2(event d); message m3 from p2(event e) to p3(event f); message m4 from p3(event g) to p1(event h).] (a) Suppose that the transmission delay of each message is at least 50 ms. Clock drifts are negligible. Let tx be the local clock reading at event x in the process where x occurs (for example, ta is the local clock reading of p1 at event a, and tb is the local clock reading of p3 at event b). Assume that p1 knows the clock readings te and tg, and also knows that th  ta  1000 ms, tc  tb  100 ms, tf  tc  500 ms, tg  tf  100 ms, te  td  300 ms. (i) If p1 would like to synchronize its local clock with p3s clock as accurately as possible, what time should p1 set its clock to when it receives message m4 from p3? What is the accuracy of this setting? (ii) If p1 would like to synchronize its local clock with p2s clock as accurately as possible, what time should p1 set its clock to when it receives message m4 from p3? What is the accuracy of this setting? (b) Timestamp all the events in Figure Q5 using the vector clocks. (c) Assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. Process p3 initiates the ChandyandLamport algorithm immediately after event c to record a snapshot of the system. List all the possible snapshots finally recorded. Indicate clearly the process states and channel states in the snapshots. In your answer, use S1, S2 and S3 to represent the initial states of processes p1, p2 and p3 respectively, and use Sx to represent the state of the process (where event x occurs) immediately after event xs occurrence (for example, Sa is the state of process p1 immediately after event a occurs, and Sb is the state of process p3 immediately after event b occurs).",Short Answer,Short Answer,Chapter 7 Time and Global States,"['Synchronizing Physical Clocks', 'Causal Ordering and Logical Clocks', 'Global States']",5.pdf,2078
Q020,"6. A replicated shared object service hosts an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x, 2) denotes a write operation setting the value of x to 2. The operations performed by each client are listed in the order that they are performed by the client. Table Q6 shows Program order for Client A: write(x, 1), read(x)  a, write(x, 2), read(x)  b. Program order for Client B: write(x, 3), read(x)  1, write(x, 4), read(x)  c. (a) If the object service is sequentially consistent, what are the possible combinations of the values a, b and c? (b) If the object service is FIFO consistent, what are the possible combinations of the values a and b? (c) Suppose that there are four replicas of object x. (i) What are the maximum numbers of crash failures and arbitrary failures that can be tolerated respectively under passive replication? (ii) What are the maximum numbers of crash failures and arbitrary failures that can be tolerated respectively under active replication? (iii) Let R be the minimum allowable number of replicas in a read quorum and W be the minimum allowable number of replicas in a write quorum. List all possible combinations of R and W permitted by Giffords quorum consensus scheme to handle network partitions.",Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],5.pdf,1375
Q021,"7. Three processes p1, p2 and p3 are running in an asynchronous distributed system. The vector clock mechanism is used to timestamp the events that occur in these processes, including the events of sending messages, receiving messages and the internal actions carried out by the processes. Suppose that two events a and b have timestamps (10, 20, 30) and (40, 50, 60) respectively. (a) What is the maximum possible number of events x in the system satisfying both a  x and x  b in causal ordering? Briefly explain your answer and draw a diagram to illustrate such a scenario. (b) What is the minimum possible number of events x in the system satisfying both a  x and x  b in causal ordering? Briefly explain your answer and draw a diagram to illustrate such a scenario.",Short Answer,Short Answer,Chapter 7 Time and Global States,['Causal Ordering and Logical Clocks'],5.pdf,769
Q022,"8. (a) In an asynchronous distributed system, two processes A and B are connected by a bidirectional communication channel. Each process wants to select and take one of two actions x and y. Assume that the processes suffer from crash failures, but the communication channel is reliable and does not fail. Can a protocol be devised for the two processes to agree upon the action to take? Briefly explain your answer. (b) In the RicartandAgrawala algorithm for mutual exclusion, instead of using logical clock readings to timestamp requests, suppose that every process maintains a monotonically increasing counter to record how many requests it has made, and uses the counter readings to timestamp its requests. With this modification, does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer.",Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],5.pdf,871
Q023,"1. (a) What are idempotent and nonidempotent operations? (3 marks) (b) A distributed contact tracing system maintains the records of lessons attended by students. The server provides three services. The first service is for the students to register attendance by specifying the location of a lesson (a string), the time of the lesson (two integers, day and hour), and the student name (a string). The second service is for the manager to retrieve all the lessons attended by a particular student by specifying the student name. The third service is for the manager to query the names of all the students attending a particular lesson by specifying the location and the time of the lesson. Design a Java remote interface for the server. (5 marks)",Programming,Programming,Chapter 3 Distributed Objects & Remote Invocation,"['Object-based model: remote method invocation (RMI)', 'An example of Java RMI']",2.pdf,745
Q024,"2. (a) What is the purpose of mounting in a distributed file system? How is mounting carried out in the NFS? (6 marks) (b) A distributed file system consists of three computers: a server and two clients A and B. Let f be a singleblock file stored at the server. Figure Q2 shows the operations performed by clients A and B on file f, where o, r, u and ""c"" represent open, read, update and close operations respectively. A and B both start with an empty client cache, and the caches are large enough to avoid any replacement. The updates made by B do not change the length of file f. The transmission delay in the network and the processing times at the computers are negligible. [A timeline diagram named Figure Q2 shows operations performed by client A: o, r1 at 0s; r2 at 2s; r3 at 4s; r4 at 6s; r5, c at 8s; o, r6 at 10s; r7 at 12s; r8, c at 14s. Operations by client B: o, u1 at 3s; u2 at 7s; u3, c at 9s.] For each of the following cases, determine which read operations of A return the file that incorporates the most recent update by B, and determine the time points when the file is transferred from the server to A. (i) The system is an NFS. The clients use a freshness interval of 3 seconds to maintain cache consistency, and client B uses a biodaemon process to send its updates to the server right after making each update. (7 marks) (ii) The system is an AFS that implements session update semantics. (7 marks)",Short Answer,Short Answer,Chapter 4 Distributed File Systems,"['Sun Network File System', 'Andrew and Coda File Systems']",2.pdf,1422
Q025,"3. Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by respective clocks as shown in the figure. [A timeprocess diagram named Figure Q3 shows: message from p3 event a to p2 event b (800 ms on p3 clock); message from p2 event c to p1 event d (700 ms on p2 clock); message from p1 event e to p2 event f (400 ms on p1 clock); message from p2 event g to p3 event h (30 ms on p2 clock). The time between a and h on p3 clock is 1000 ms.] (a) If p3 would like to synchronize its clock with p2s clock as accurately as possible, what time should p3 set its clock to when it receives the message at event k? What is the accuracy of this setting? (5 marks) (b) If p3 would like to synchronize its clock with p1s clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting? (5 marks) (c) Timestamp all the events in Figure Q3 using the vector clocks. (6 marks) (d) Assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. p2 initiates the ChandyandLamport algorithm sometime between events c and f to record a snapshot of the system. List all the possible snapshots finally recorded. Indicate clearly the process states and channel states in the snapshots. In your answer, if needed, use S1, S2 and S3 to represent the initial states of p1, p2 and p3 respectively, and use Sx to represent the state of the process where event x occurs immediately after event xs occurrence (for example, Sa is the state of p3 immediately after event a occurs, and Sc is the state of p2 immediately after event c occurs). (6 marks)",Calculation,Calculation,Chapter 7 Time and Global States,"['Synchronizing Physical Clocks', 'Causal Ordering and Logical Clocks', 'Global States']",2.pdf,2004
Q026,"4. The vector clock mechanism is used to timestamp the events that occur in a distributed system of three processes p1, p2, p3. Suppose that in a consistent cut, the last event occurring in each process has the following timestamps: p1: (300, 100, 100) p2: (200, 200, 200) p3: (300, a, b) What are the possible ranges of the values a and b respectively? Briefly explain your answer. (10 marks)",Short Answer,Short Answer,Chapter 7 Time and Global States,"['Causal Ordering and Logical Clocks', 'Global States']",2.pdf,393
Q027,"5. (a) Suppose that the Ricart and Agrawala algorithm is used for distributed mutual exclusion among n processes p1, p2, ..., pn. Below is the partial pseudocode of the algorithm executed by a process pi. Complete the algorithm by filling in the boxes A to F with appropriate pseudocode. [Partial pseudocode:] On initialization state : RELEASED; To enter the critical section [Box A] send request to all the other processes; T : the timestamp of the request by the logical clock; [Box B] state : HELD; On receipt of a request (Tj, pj) from another process pj (j  i) if (state  RELEASED or [Box C]) then [Box D] else [Box E] end if To exit the critical section [Box F] reply to all queued requests; (10 marks) (b) In the Ricart and Agrawala algorithm, suppose the statement ""T : the timestamp of the request by the logical clock"" is changed to ""T : a random number"". Assume that different processes never generate the same random number. Does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer. (10 marks)",Fill in Blank,Fill in Blank,Chapter 7 Time and Global States,['Causal Ordering and Logical Clocks'],2.pdf,1085
Q028,"6. Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x  x  50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. [Table Q6 showing operations in program order. Client A: write(x  x  6), read(x)  a, write(x  x  50), read(x)  b. Client B: write(x  x  400), read(x)  c, read(x)  400, read(x)  d.] (a) If the object service is sequentially consistent, what are the possible combinations of the values a and b? (4 marks) (b) If the object service is monotonicread consistent, what are the possible combinations of the values c and d? (4 marks) (c) If the object service is both monotonicread consistent and monotonicwrite consistent, what are the possible combinations of the values c and d? (4 marks) (d) If the object service is readyourwrites consistent, what are the possible combinations of the values a and b? (4 marks) (e) If a  406 and the object service is writesfollowreads consistent, what are the possible values of b? (4 marks)",Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],2.pdf,1231
Q029,"1. (a) In a distributed banking system, the server keeps the transaction records of credit cards and provides two services. The first service is for customers to query the available credit limit (a floatingpoint value) by specifying the credit card number (an integer). The second service is to keep customers informed of their new transactions through callback. To use this service, a customer must register his interest by specifying the credit card number. A callback from the server includes the transaction description (a string) and the amount used (a floatingpoint value). Design Java remote interfaces for the server and the customer. (6 marks) (b) Let A and B be two different idempotent operations on the same object. Let C be a compound operation that first executes A and then executes B. Analyze whether operation C is idempotent and briefly explain your answer. (6 marks) (c) Briefly explain onecopy update semantics and session update semantics. What update semantics do the local UNIX file system, the Network File System and the Andrew File System implement respectively? (5 marks)",Short Answer,Short Answer,Chapter 3 Distributed Objects & Remote Invocation,"['An example of Java RMI', 'Sun Network File System', 'Andrew and Coda File Systems']",7.pdf,1098
Q030,"2. In a peertopeer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 27  1). There are 10 nodes in the system: N0, N6, N25, N38, N45, N58, N67, N73, N88 and N94, where the numbers behind N denote the node identifiers on the identifier circle. (a) What is the route of a query issued by node N88 for the location information of file K71 (the number behind K denotes the key identifier of the file on the identifier circle)? (5 marks) (b) When a new node joins the system, it changes the route of the query in Q2(a). What are the possible node identifiers of this new node? (5 marks)",Calculation,Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],7.pdf,625
Q031,"3. Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. [Image of Figure Q3 showing process timelines and message passing with time intervals: P1 has events d, e with 600ms between them. P2 has events b, c, f, g with 300ms between f and g, and 800ms between b and c. P3 has events a, h with 1584ms between them. Messages are sent from b to d, c to f, a to b, and g to h. Interval between c and g is 1414ms based on p2s clock.] (a) Assume that the clock drifts are negligible. If p3 would like to synchronize its clock with p2s clock as accurately as possible, what time should p3 set its clock to when it receives the message at event h? What is the accuracy of this setting? (4 marks) (b) Assume that the clock drifts are negligible. If p3 would like to synchronize its clock with p1s clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting? (4 marks) (c) Suppose that the drift rate of each clock is bounded by 10 ms per second (the drift rate of a clock is defined as the change in the offset between the clock and a perfect reference clock per unit of time measured by the perfect reference clock). If p3 would like to synchronize its clock with p2s clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting? (6 marks) (d) List all the events that happenedbefore event e in causal ordering. (2 marks) (e) Assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. Suppose that p1 initiates the ChandyandLamport algorithm immediately after event e to record a snapshot of the system. What are the possible snapshots finally recorded? In your answer, if needed, use S1, S2 and S3 to represent the initial states of p1, p2 and p3 respectively, and use Sx to represent the state of the process immediately after event x occurs (for example, Sa is the state of p3 immediately after event a occurs, and Sc is the state of p2 immediately after event c occurs). (6 marks)",Calculation,Calculation,Chapter 7 Time and Global States,"['Synchronizing Physical Clocks', 'Causal Ordering and Logical Clocks', 'Global States']",7.pdf,2477
